select players, bowlsz, dist, gname, avg(position) as avg_position, avg(score) as avg_score from game join result on game.id = result.game_id group by players, bowlsz, dist, gname;
+---------+--------+--------------+---------+--------------+-----------+
| players | bowlsz | dist         | gname   | avg_position | avg_score |
+---------+--------+--------------+---------+--------------+-----------+
|      12 |      1 | power2.txt   | g1_v0   |       5.3640 |   14.6910 |
|      12 |      1 | power2.txt   | g1_v1   |       5.5680 |   15.3515 |
|      12 |      1 | power2.txt   | g2      |       5.4415 |   16.6475 |
|      12 |      1 | power2.txt   | g3      |       5.4420 |   16.3610 |
|      12 |      1 | power2.txt   | g4      |       5.5090 |   13.9555 |
|      12 |      1 | power2.txt   | g5a     |       5.4865 |   16.9880 |
|      12 |      1 | power2.txt   | g5b     |       5.6410 |   16.1205 |
|      12 |      1 | power2.txt   | g6      |       5.4730 |   16.6880 |
|      12 |      1 | power2.txt   | g7      |       5.4860 |   17.1070 |
|      12 |      1 | power2.txt   | g8      |       5.5555 |   15.2855 |
|      12 |      1 | power2.txt   | g8Fruit |       5.5670 |   15.2310 |
|      12 |      1 | power2.txt   | g9      |       5.4665 |   15.2015 |
|      12 |      1 | random.txt   | g1_v0   |       5.3855 |   15.3140 |
|      12 |      1 | random.txt   | g1_v1   |       5.4645 |   15.9875 |
|      12 |      1 | random.txt   | g2      |       5.5465 |   17.7645 |
|      12 |      1 | random.txt   | g3      |       5.5455 |   17.6195 |
|      12 |      1 | random.txt   | g4      |       5.3885 |   14.6845 |
|      12 |      1 | random.txt   | g5a     |       5.4130 |   18.5145 |
|      12 |      1 | random.txt   | g5b     |       5.4755 |   16.6810 |
|      12 |      1 | random.txt   | g6      |       5.5865 |   18.2520 |
|      12 |      1 | random.txt   | g7      |       5.6255 |   18.3695 |
|      12 |      1 | random.txt   | g8      |       5.4885 |   16.7725 |
|      12 |      1 | random.txt   | g8Fruit |       5.6765 |   16.2900 |
|      12 |      1 | random.txt   | g9      |       5.4040 |   16.9335 |
|      12 |      1 | uniform.txt  | g1_v0   |       5.5515 |   15.0880 |
|      12 |      1 | uniform.txt  | g1_v1   |       5.4340 |   16.1230 |
|      12 |      1 | uniform.txt  | g2      |       5.5450 |   17.9465 |
|      12 |      1 | uniform.txt  | g3      |       5.5970 |   17.7140 |
|      12 |      1 | uniform.txt  | g4      |       5.3945 |   14.5995 |
|      12 |      1 | uniform.txt  | g5a     |       5.4210 |   18.8230 |
|      12 |      1 | uniform.txt  | g5b     |       5.5605 |   16.8260 |
|      12 |      1 | uniform.txt  | g6      |       5.4445 |   18.1345 |
|      12 |      1 | uniform.txt  | g7      |       5.5140 |   18.6510 |
|      12 |      1 | uniform.txt  | g8      |       5.4120 |   16.7830 |
|      12 |      1 | uniform.txt  | g8Fruit |       5.5515 |   16.5315 |
|      12 |      1 | uniform.txt  | g9      |       5.5745 |   17.2175 |
|      12 |      1 | uniform2.txt | g1_v0   |       5.5330 |   14.4890 |
|      12 |      1 | uniform2.txt | g1_v1   |       5.4175 |   14.5640 |
|      12 |      1 | uniform2.txt | g2      |       5.5295 |   15.7045 |
|      12 |      1 | uniform2.txt | g3      |       5.3805 |   14.9525 |
|      12 |      1 | uniform2.txt | g4      |       5.5580 |   13.8635 |
|      12 |      1 | uniform2.txt | g5a     |       5.4545 |   15.6025 |
|      12 |      1 | uniform2.txt | g5b     |       5.5670 |   15.6445 |
|      12 |      1 | uniform2.txt | g6      |       5.6015 |   15.6165 |
|      12 |      1 | uniform2.txt | g7      |       5.4800 |   15.6830 |
|      12 |      1 | uniform2.txt | g8      |       5.4960 |   14.4675 |
|      12 |      1 | uniform2.txt | g8Fruit |       5.5545 |   13.9995 |
|      12 |      1 | uniform2.txt | g9      |       5.4280 |   14.5345 |
|      12 |      1 | uniform6.txt | g1_v0   |       5.5625 |   15.0820 |
|      12 |      1 | uniform6.txt | g1_v1   |       5.5260 |   15.9685 |
|      12 |      1 | uniform6.txt | g2      |       5.5390 |   17.4340 |
|      12 |      1 | uniform6.txt | g3      |       5.3955 |   17.4405 |
|      12 |      1 | uniform6.txt | g4      |       5.5425 |   14.5345 |
|      12 |      1 | uniform6.txt | g5a     |       5.3845 |   18.2840 |
