select position, players, avg(score) from result join game on result.game_id = game.id group by players, position;
+----------+---------+------------+
| position | players | avg(score) |
+----------+---------+------------+
|        0 |      12 |   503.8092 |
|        1 |      12 |   507.9597 |
|        2 |      12 |   510.3124 |
|        3 |      12 |   511.2306 |
|        4 |      12 |   513.9732 |
|        5 |      12 |   512.9726 |
|        6 |      12 |   511.4976 |
|        7 |      12 |   512.3635 |
|        8 |      12 |   509.0137 |
|        9 |      12 |   508.2045 |
|       10 |      12 |   506.6565 |
|       11 |      12 |   500.8090 |
|        0 |      13 |   502.5487 |
|        1 |      13 |   507.7086 |
|        2 |      13 |   510.1052 |
|        3 |      13 |   511.0874 |
|        4 |      13 |   512.2746 |
|        5 |      13 |   512.4316 |
|        6 |      13 |   512.4719 |
|        7 |      13 |   511.7407 |
|        8 |      13 |   510.6895 |
|        9 |      13 |   509.9709 |
|       10 |      13 |   506.9701 |
|       11 |      13 |   503.6032 |
|       12 |      13 |   501.4580 |
|        0 |      26 |   507.4433 |
|        1 |      26 |   511.5943 |
|        2 |      26 |   514.7358 |
|        3 |      26 |   514.4967 |
|        4 |      26 |   519.1061 |
|        5 |      26 |   518.1382 |
|        6 |      26 |   520.5826 |
|        7 |      26 |   520.1777 |
|        8 |      26 |   520.7526 |
|        9 |      26 |   521.3224 |
|       10 |      26 |   520.9307 |
|       11 |      26 |   520.9948 |
|       12 |      26 |   521.5491 |
|       13 |      26 |   522.0715 |
|       14 |      26 |   520.2092 |
|       15 |      26 |   520.6883 |
|       16 |      26 |   519.2915 |
|       17 |      26 |   518.4901 |
|       18 |      26 |   519.1842 |
|       19 |      26 |   518.7227 |
|       20 |      26 |   514.2695 |
|       21 |      26 |   513.4655 |
|       22 |      26 |   513.4630 |
|       23 |      26 |   510.8955 |
|       24 |      26 |   508.4665 |
|       25 |      26 |   503.7812 |
+----------+---------+------------+
51 rows in set (7.65 sec)
