select position, players, avg(score) from result join game on result.game_id = game.id and result.gname = "g4" group by players, position;
+----------+---------+------------+
| position | players | avg(score) |
+----------+---------+------------+
|        0 |      12 |   508.0803 |
|        1 |      12 |   495.0520 |
|        2 |      12 |   513.1189 |
|        3 |      12 |   514.7286 |
|        4 |      12 |   524.2071 |
|        5 |      12 |   516.6891 |
|        6 |      12 |   528.0656 |
|        7 |      12 |   497.6862 |
|        8 |      12 |   502.6016 |
|        9 |      12 |   505.5447 |
|       10 |      12 |   498.9346 |
|       11 |      12 |   502.3654 |
|        0 |      13 |   495.2567 |
|        1 |      13 |   500.3943 |
|        2 |      13 |   523.0562 |
|        3 |      13 |   522.1323 |
|        4 |      13 |   506.9367 |
|        5 |      13 |   508.2793 |
|        6 |      13 |   506.9248 |
|        7 |      13 |   502.8510 |
|        8 |      13 |   512.6418 |
|        9 |      13 |   538.0978 |
|       10 |      13 |   501.2941 |
|       11 |      13 |   507.6175 |
|       12 |      13 |   500.4079 |
|        0 |      26 |   514.5952 |
|        1 |      26 |   518.8775 |
|        2 |      26 |   531.9879 |
|        3 |      26 |   510.7631 |
|        4 |      26 |   516.8583 |
|        5 |      26 |   522.1492 |
|        6 |      26 |   524.7959 |
|        7 |      26 |   517.1958 |
|        8 |      26 |   544.2111 |
|        9 |      26 |   506.0875 |
|       10 |      26 |   528.4361 |
|       11 |      26 |   522.3708 |
|       12 |      26 |   529.6080 |
|       13 |      26 |   531.1126 |
|       14 |      26 |   514.6161 |
|       15 |      26 |   514.7519 |
|       16 |      26 |   520.3472 |
|       17 |      26 |   526.7932 |
|       18 |      26 |   526.7796 |
|       19 |      26 |   514.8530 |
|       20 |      26 |   508.1357 |
|       21 |      26 |   502.7711 |
|       22 |      26 |   500.1213 |
|       23 |      26 |   504.0088 |
|       24 |      26 |   496.3283 |
|       25 |      26 |   497.9904 |
+----------+---------+------------+
51 rows in set (5.53 sec)
